ANO;EXPORTACAO;IMPORTACAO;SALDO;CORRENTE)
1999;2949154776;3667312990;-718158214;6616467766
2000;3453879475;3568862639;-114983164;7022742114
2001;4541623764;5022206001;-480582237;9563829765
2002;3975967550;3803140301;172827249;7779107851
2003;4811181392;3650452628;1160728764;8461634020
2004;5809452343;4217055211;1592397132;10026507554
2005;7457189902;5262674702;2194515200;12719864604
2006;9286850191;6451583442;2835266749;15738433633
2007;10983867609;8460558886;2523308723;19444426495
2008;13276884351;12354335506;922548845;25631219857
2009;9781920008;10311642361;-529722353;20093562369
2010;11305066944;11485733370;-180666426;22790800314
2011;15214352952;14817194573;397158379;30031547525
2012;16140344319;17448479413;-1308135094;33588823732
2013;15966728014;20014320036;-4047592022;35981048050
2014;16026190798;20092939395;-4066748597;36119130193
2015;13704044559;16873839267;-3169794708;30577883826
2016;11237669013;10322637679;915031334;21560306692
2017;14908251428;12197812220;2710439208;27106063648
2018;16967793791;14199351887;2768441904;31167145678